internal_id,string_external_id,abundance
4446068,9606.ENSP00000376475,409
4445338,9606.ENSP00000369538,409
4446990,9606.ENSP00000383118,409
4446805,9606.ENSP00000381386,408
4442961,9606.ENSP00000356790,408
4435152,9606.ENSP00000262873,407
4434407,9606.ENSP00000255040,407
4445329,9606.ENSP00000369461,406
4440482,9606.ENSP00000333769,402
4442284,9606.ENSP00000352706,401
4438348,9606.ENSP00000307705,401
4447473,9606.ENSP00000387123,401
4449602,9606.ENSP00000431808,400
4432873,9606.ENSP00000215754,399
4441583,9606.ENSP00000346050,399
4447787,9606.ENSP00000393241,398
4437622,9606.ENSP00000300051,397
4434674,9606.ENSP00000259037,397
4435987,9606.ENSP00000271638,396
4433490,9606.ENSP00000230050,396
4438200,9606.ENSP00000306163,395
4451393,9606.ENSP00000479488,393
4447562,9606.ENSP00000388658,392
4449581,9606.ENSP00000431254,391
4438311,9606.ENSP00000307280,390
4434824,9606.ENSP00000261070,390
4451846,9606.ENSP00000484343,389
4432984,9606.ENSP00000216802,389
4447974,9606.ENSP00000397261,389
4448118,9606.ENSP00000400365,389
4439914,9606.ENSP00000327336,387
4439523,9606.ENSP00000322419,386
4433313,9606.ENSP00000225430,385
4439716,9606.ENSP00000324804,385
4448124,9606.ENSP00000400467,385
4436371,9606.ENSP00000280326,383
4434443,9606.ENSP00000255681,383
4439424,9606.ENSP00000321259,382
4433112,9606.ENSP00000220325,380
4443211,9606.ENSP00000357873,379
4450285,9606.ENSP00000449404,377
4438543,9606.ENSP00000309830,376
4435550,9606.ENSP00000265073,375
4451197,9606.ENSP00000477310,374
4441585,9606.ENSP00000346067,374
4442728,9606.ENSP00000355657,373
4446117,9606.ENSP00000376889,373
4447278,9606.ENSP00000385828,372
4447293,9606.ENSP00000385958,372
4443002,9606.ENSP00000356972,371
4448935,9606.ENSP00000417864,370
4442230,9606.ENSP00000352257,370
4445100,9606.ENSP00000367939,369
4445486,9606.ENSP00000370414,369
4436296,9606.ENSP00000278572,368
4438974,9606.ENSP00000315130,368
4437176,9606.ENSP00000295685,367
4442254,9606.ENSP00000352455,365
4433493,9606.ENSP00000230085,365
4437688,9606.ENSP00000300688,365
4451468,9606.ENSP00000480313,364
4441310,9606.ENSP00000343140,364
4444285,9606.ENSP00000363018,362
4448802,9606.ENSP00000415840,362
4446104,9606.ENSP00000376800,361
4444013,9606.ENSP00000361824,360
4449573,9606.ENSP00000431049,359
4441834,9606.ENSP00000348461,359
4444290,9606.ENSP00000363041,359
4443153,9606.ENSP00000357688,359
4442404,9606.ENSP00000353826,359
4443409,9606.ENSP00000358866,358
4439023,9606.ENSP00000315774,356
4446656,9606.ENSP00000380402,355
4452092,9606.ENSP00000485630,355
4439355,9606.ENSP00000320324,354
4449706,9606.ENSP00000434412,354
4447012,9606.ENSP00000383365,353
4439045,9606.ENSP00000316176,353
4450976,9606.ENSP00000470972,351
4433596,9606.ENSP00000233627,351
4434717,9606.ENSP00000259667,350
4442739,9606.ENSP00000355741,350
4433399,9606.ENSP00000227868,349
4435108,9606.ENSP00000262584,347
4438150,9606.ENSP00000305675,346
4433228,9606.ENSP00000222399,346
4434134,9606.ENSP00000250495,344
4434618,9606.ENSP00000258341,344
4443872,9606.ENSP00000361140,342
4436114,9606.ENSP00000274137,341
4433236,9606.ENSP00000222553,341
4442903,9606.ENSP00000356481,340
4436603,9606.ENSP00000284770,340
4448554,9606.ENSP00000410452,340
4433826,9606.ENSP00000242592,338
4442941,9606.ENSP00000356671,338
4438215,9606.ENSP00000306362,338
4440154,9606.ENSP00000330074,337
4437762,9606.ENSP00000301457,337
4451332,9606.ENSP00000478828,336
4435055,9606.ENSP00000262306,336
4444056,9606.ENSP00000362010,336
4447650,9606.ENSP00000390265,336
4443158,9606.ENSP00000357705,336
4433714,9606.ENSP00000238651,336
4433951,9606.ENSP00000245907,335
4432741,9606.ENSP00000184266,335
4437324,9606.ENSP00000296684,334
4439093,9606.ENSP00000316924,334
4435708,9606.ENSP00000266544,333
4433272,9606.ENSP00000223167,332
4438137,9606.ENSP00000305556,331
4433364,9606.ENSP00000226299,331
4441289,9606.ENSP00000342858,331
4445412,9606.ENSP00000369915,330
4435545,9606.ENSP00000265062,330
4435199,9606.ENSP00000263100,330
4444406,9606.ENSP00000363641,328
4447488,9606.ENSP00000387262,328
4446274,9606.ENSP00000377958,328
4441169,9606.ENSP00000341625,327
4436421,9606.ENSP00000281243,327
4445353,9606.ENSP00000369586,327
4444997,9606.ENSP00000367309,327
4440966,9606.ENSP00000339566,326
4437556,9606.ENSP00000299300,326
4446257,9606.ENSP00000377823,326
4451634,9606.ENSP00000482075,325
4438505,9606.ENSP00000309477,325
4439770,9606.ENSP00000325527,325
4451272,9606.ENSP00000478121,323
4446540,9606.ENSP00000379678,322
4434505,9606.ENSP00000256682,321
4444576,9606.ENSP00000364649,321
4450354,9606.ENSP00000451291,321
4442171,9606.ENSP00000351646,319
4432978,9606.ENSP00000216714,319
4433208,9606.ENSP00000222214,318
4440409,9606.ENSP00000332887,318
4434001,9606.ENSP00000246868,318
4443166,9606.ENSP00000357727,318
4443740,9606.ENSP00000360473,317
4441922,9606.ENSP00000349428,317
4450390,9606.ENSP00000452280,317
4439848,9606.ENSP00000326381,316
4446282,9606.ENSP00000378046,316
4436628,9606.ENSP00000285379,316
4439155,9606.ENSP00000317842,315
4435853,9606.ENSP00000268876,315
4433907,9606.ENSP00000244669,315
4432717,9606.ENSP00000173527,315
4439035,9606.ENSP00000316029,315
4442585,9606.ENSP00000354982,315
4446675,9606.ENSP00000380514,313
4447225,9606.ENSP00000385385,313
4436857,9606.ENSP00000290349,313
4441434,9606.ENSP00000344504,311
4437319,9606.ENSP00000296658,311
4441726,9606.ENSP00000347495,311
4447823,9606.ENSP00000393887,310
4437909,9606.ENSP00000302896,310
4446310,9606.ENSP00000378199,310
4433793,9606.ENSP00000241052,309
4438521,9606.ENSP00000309591,309
4436240,9606.ENSP00000276689,309
4436158,9606.ENSP00000274764,309
4450804,9606.ENSP00000466214,309
4443759,9606.ENSP00000360541,309
4438689,9606.ENSP00000311430,309
4435621,9606.ENSP00000265594,309
4449729,9606.ENSP00000435096,309
4451364,9606.ENSP00000479153,308
4440420,9606.ENSP00000333019,308
4434224,9606.ENSP00000252456,308
4436697,9606.ENSP00000286788,308
4440269,9606.ENSP00000331544,307
4436526,9606.ENSP00000283179,307
